id,profileId,voice,sourceType,lessonId,lessonTitle,sourceId,text,note,priority,localOutputPath,r2ObjectKey
vi3a-0001,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,1,Unit 1 - My New School: Vocabulary,eng6-b2-u01-vocabulary-my-new-school:vocab:lesson,bÃ i há»c,lesson,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-29d4a6e5ce.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-29d4a6e5ce.mp3
vi3a-0002,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,1,Unit 1 - My New School: Vocabulary,eng6-b2-u01-vocabulary-my-new-school:vocab:homework,bÃ i táº­p vá» nhÃ ,homework,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-13e317899c.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-13e317899c.mp3
vi3a-0003,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,1,Unit 1 - My New School: Vocabulary,eng6-b2-u01-vocabulary-my-new-school:vocab:classmate,báº¡n cÃ¹ng lá»›p,classmate,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-303d223072.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-303d223072.mp3
vi3a-0004,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,1,Unit 1 - My New School: Vocabulary,eng6-b2-u01-vocabulary-my-new-school:vocab:uniform,Ä‘á»“ng phá»¥c,uniform,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-9887c8f01c.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-9887c8f01c.mp3
vi3a-0005,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,1,Unit 1 - My New School: Vocabulary,eng6-b2-u01-vocabulary-my-new-school:vocab:pencil-case,há»™p bÃºt,pencil case,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-9a5057e83d.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-9a5057e83d.mp3
vi3a-0006,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,1,Unit 1 - My New School: Vocabulary,eng6-b2-u01-vocabulary-my-new-school:vocab:science,khoa há»c,science,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-7b6cb9aa41.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-7b6cb9aa41.mp3
vi3a-0007,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,1,Unit 1 - My New School: Vocabulary,eng6-b2-u01-vocabulary-my-new-school:vocab:calculator,mÃ¡y tÃ­nh bá» tÃºi,calculator,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-620ce665fb.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-620ce665fb.mp3
vi3a-0008,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,1,Unit 1 - My New School: Vocabulary,eng6-b2-u01-vocabulary-my-new-school:vocab:subject,mÃ´n há»c,subject,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-e01afe613b.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-e01afe613b.mp3
vi3a-0009,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,1,Unit 1 - My New School: Vocabulary,eng6-b2-u01-vocabulary-my-new-school:vocab:playground,sÃ¢n chÆ¡i,playground,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-23be43f781.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-23be43f781.mp3
vi3a-0010,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,1,Unit 1 - My New School: Vocabulary,eng6-b2-u01-vocabulary-my-new-school:vocab:library,thÆ° viá»‡n,library,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-87488d0d8e.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-87488d0d8e.mp3
