id,subject,grade,sourceType,sourceId,lessonId,title,text,profileId,voice,localOutputPath,r2ObjectKey,warning
eng6-full-00001,english,6,lesson-card,eng6-b2-u01-vocabulary-my-new-school-c01,1,Unit 1: My New School,"Chủ đề: school, classmates and school activities. Bài này giúp em nhận biết và dùng từ vựng trong tình huống quen thuộc.",en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\lesson-card-eng6-b2-u01-vocabulary-my-new-school-c01.mp3,audio/tts/assets/en-v1/lesson-card-eng6-b2-u01-vocabulary-my-new-school-c01.mp3,
eng6-full-00002,english,6,lesson-card,eng6-b2-u01-vocabulary-my-new-school-c02,1,Từ vựng trọng tâm,subject = môn học; classmate = bạn cùng lớp; uniform = đồng phục; library = thư viện; homework = bài tập về nhà; lesson = bài học,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\lesson-card-eng6-b2-u01-vocabulary-my-new-school-c02.mp3,audio/tts/assets/en-v1/lesson-card-eng6-b2-u01-vocabulary-my-new-school-c02.mp3,
eng6-full-00003,english,6,lesson-card,eng6-b2-u01-vocabulary-my-new-school-c03,1,Nhóm nghĩa cần nhớ,Hãy gom từ theo nhóm: người/vật/nơi chốn/hành động/tính từ để nhớ lâu hơn.,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\lesson-card-eng6-b2-u01-vocabulary-my-new-school-c03.mp3,audio/tts/assets/en-v1/lesson-card-eng6-b2-u01-vocabulary-my-new-school-c03.mp3,
eng6-full-00004,english,6,lesson-card,eng6-b2-u01-vocabulary-my-new-school-c04,1,Ví dụ câu ngắn,Ví dụ: I like my subject.,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\lesson-card-eng6-b2-u01-vocabulary-my-new-school-c04.mp3,audio/tts/assets/en-v1/lesson-card-eng6-b2-u01-vocabulary-my-new-school-c04.mp3,
eng6-full-00005,english,6,lesson-card,eng6-b2-u01-vocabulary-my-new-school-c05,1,Mẹo học từ,"Đọc to từ, đặt một câu ngắn, rồi đổi ngữ cảnh để tránh học vẹt.",en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\lesson-card-eng6-b2-u01-vocabulary-my-new-school-c05.mp3,audio/tts/assets/en-v1/lesson-card-eng6-b2-u01-vocabulary-my-new-school-c05.mp3,
eng6-full-00006,english,6,lesson-card,eng6-b2-u01-vocabulary-my-new-school-c06,1,Lỗi hay gặp,Không chỉ nhớ nghĩa tiếng Việt; cần biết từ dùng trong câu nào.,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\lesson-card-eng6-b2-u01-vocabulary-my-new-school-c06.mp3,audio/tts/assets/en-v1/lesson-card-eng6-b2-u01-vocabulary-my-new-school-c06.mp3,
eng6-full-00007,english,6,lesson-card,eng6-b2-u01-vocabulary-my-new-school-c07,1,Mini check,Em hãy chọn 3 từ trong Unit 1 và đặt câu.,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\lesson-card-eng6-b2-u01-vocabulary-my-new-school-c07.mp3,audio/tts/assets/en-v1/lesson-card-eng6-b2-u01-vocabulary-my-new-school-c07.mp3,
eng6-full-00008,english,6,lesson-card,eng6-b2-u01-vocabulary-my-new-school-c08,1,Recap,"Cần nhớ từ theo chủ đề My New School, nghĩa Việt, loại từ và câu ví dụ.",en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\lesson-card-eng6-b2-u01-vocabulary-my-new-school-c08.mp3,audio/tts/assets/en-v1/lesson-card-eng6-b2-u01-vocabulary-my-new-school-c08.mp3,
eng6-full-00009,english,6,lesson-card,eng6-b2-u01-grammar-my-new-school-c01,2,Grammar Unit 1,Bài này luyện ngữ pháp dùng trong chủ đề My New School.,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\lesson-card-eng6-b2-u01-grammar-my-new-school-c01.mp3,audio/tts/assets/en-v1/lesson-card-eng6-b2-u01-grammar-my-new-school-c01.mp3,
eng6-full-00010,english,6,lesson-card,eng6-b2-u01-grammar-my-new-school-c02,2,Điểm ngữ pháp 1,Use the present simple for habits and routines: I go to school at seven.,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\lesson-card-eng6-b2-u01-grammar-my-new-school-c02.mp3,audio/tts/assets/en-v1/lesson-card-eng6-b2-u01-grammar-my-new-school-c02.mp3,
